,NumHAcceptors,PEOE_VSA7,Chi1v,Kappa1,NumHDonors,Kappa3,NOCount,NumHeteroatoms,PEOE_VSA1,PEOE_VSA10,Chi4n,EState_VSA3
C19H17N3.ClH,3,58.691,7.041,16.588,3,3.705,3,4,16.877,0,2.436,5.712
C29H24N6,6,56.31204388,11.5978452,20.98685842,2,3.993909667,6,6,10.63357721,5.662860035,4.54710596,0
C30H31ClN6,5,62.37841095,12.36167602,26.04493897,0,5.392962863,6,7,22.20685262,11.03340144,4.466272786,0
C21H26Cl2N8,6,61.27783298,9.096562678,25.67617945,6,6.065172544,8,10,47.74873623,11.37477255,2.708202071,39.81170392
C10H6O4,3,12.13273414,3.944803917,8.496118022,1,1.264784439,4,4,9.523678332,11.14647163,1.211043642,10.96924436
C32H18N8,6,0,12.99268265,21.20352014,2,3.010061728,8,8,9.967957042,22.58870888,5.59078743,45.88632688
C28H31ClN2O3,3,57.52386856,11.67994903,25.31555439,1,4.529346341,5,6,26.83062122,24.43278037,4.616233796,5.563451492
C15H15N3O2,4,36.39820241,6.091696001,13.73498854,1,3.198072633,5,5,10.00643713,5.687386275,1.670734096,11.37477255
C34H24N6Na4O16S4,22,82.5630221,21.68339503,57.60701632,4,12.13333829,22,30,49.36511515,74.7210762,5.932757311,23.25963712
C30H26N4NA2O8S2,12,97.7707822,15.94846994,39.41878807,0,11.48864541,12,16,18.57922566,31.73527738,3.840789765,36.08756015
